R00704	DLACTDEHYDROGNAD-RXN
R00705	RXN-2902
R00706	1.2.1.18-RXN
R00709	ISOCITRATE-DEHYDROGENASE-NAD+-RXN
R00710	RXN66-3
R00711	RXN0-3962
R00713	SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN
R00714	SUCCSEMIALDDEHYDROG-RXN
R00715	1.5.1.7-RXN
R00716	1.5.1.8-RXN
R00717	GLYCOLATE-REDUCTASE-RXN
R00719	RXN0-5073
R00720	RXN0-6382
R00722	RXN-14120
R00726	RXN-12481
R00727	RXN-12511
R00728	TYROSINE-PHENOL-LYASE-RXN
R00729	RXN-12487
R00730	TYROSINE-N-MONOOXYGENASE-RXN
R00732	CYCLOHEXADIENYL-DEHYDROGENASE-RXN
R00733	RXN-5682
R00734	TYROSINE-AMINOTRANSFERASE-RXN
R00735	TYROSINE--ARGININE-LIGASE-RXN
R00736	TYROSINE-DECARBOXYLASE-RXN
R00737	RXN-9697
R00739	TYROSINE-23-AMINOMUTASE-RXN
R00740	RXN-8963
R00742	ACETYL-COA-CARBOXYLTRANSFER-RXN
R00743	MALONATE-COA-TRANSFERASE-RXN
R00746	RXN-12484
R00747	PHOSPHONOACETALDEHYDE-HYDROLASE-RXN
R00748	ETHANOLAMINE-PHOSPHATE-PHOSPHO-LYASE-RXN
R00749	ETHAMLY-RXN
R00750	MHPELY-RXN
R00751	THREONINE-ALDOLASE-RXN
R00753	LACTATE-ALDOLASE-RXN
R00754	ALCOHOL-DEHYDROG-RXN
R00756	6PFRUCTPHOS-RXN
R00758	MANNPDEHYDROG-RXN
R00760	FRUCTOKINASE-RXN
R00761	FRUCTOSE-6-PHOSPHATE-PHOSPHOKETOLASE-RXN
R00762	F16BDEPHOS-RXN
R00763	3.1.3.46-RXN
R00764	2.7.1.90-RXN
R00765	GLUCOSAMINE-6-P-DEAMIN-RXN
R00766	SUCROSE-PHOSPHATE-SYNTHASE-RXN
R00768	L-GLN-FRUCT-6-P-AMINOTRANS-RXN
R00771	PGLUCISOM-RXN
R00772	MANNPISOM-RXN
R00774	UREA-CARBOXYLASE-RXN
R00775	GUANIDINOACETASE-RXN
R00776	UREIDOGLYCOLATE-LYASE-RXN
R00777	AMIDINOASPARTASE-RXN
R00778	CYANAMIDE-HYDRATASE-RXN
R00781	FESGSHTHIO-RXN
R00782	LCYSDESULF-RXN
R00783	NITRITE-REDUCTASE-CYTOCHROME-RXN
R00787	RXN-13854
R00790	FERREDOXIN--NITRITE-REDUCTASE-RXN
R00791	1.7.7.2-RXN
R00793	HAONITRO-RXN
R00794	NITRATE-REDUCTASE-NADH-RXN
R00796	NITRATE-REDUCTASE-NADPH-RXN
R00799	NITROETHANE-OXIDASE-RXN
R00802	3.2.1.48-RXN
R00803	SUCROSE-PHOSPHORYLASE-RXN
R00804	SUGAR-PHOSPHATASE-RXN
R00805	SUCROSE-PHOSPHATASE-RXN
R00808	GLUCOSIDE-3-DEHYDROGENASE-RXN
R00809	2.4.1.167-RXN
R00810	ISOMALTULOSE-SYNTHASE-RXN
R00812	1.3.1.19-RXN
R00813	1.3.1.25-RXN
R00814	1.3.1.20-RXN
R00815	PHENOL-2-MONOOXYGENASE-RXN
R00816	CATECHOL-23-DIOXYGENASE-RXN
R00817	CATECHOL-12-DIOXYGENASE-RXN
R00818	SALICYLATE-1-MONOOXYGENASE-RXN
R00821	O-PYROCATECHUATE-DECARBOXYLASE-RXN
R00822	PROTOCATECHUATE-DECARBOXYLASE-RXN
R00825	1.14.12.1-RXN
R00828	2-NITROPHENOL-2-MONOOXYGENASE-RXN
R00829	RXN-3641
