R00108	NADPH--CYTOCHROME-C2-REDUCTASE-RXN
R01799	RXN0-5515
R01487	RXN-16954
R11229	RXN-16733
R01481	RXN-23340
R05784	RXN-9464
R10117	RXN-11481
R00031	RXN-8332
R06119	RXN-10746
R07207	1.14.13.98-RXN
R04023	2.7.11.7-RXN
R06810	RXN-8264
R02793	1.1.1.176-RXN
R04036	1.13.12.7-RXN
R08356	1.8.1.12-RXN
R07303	3.5.1.91-RXN
R03127	DIHYDROXYFUMARATE-DECARBOXYLASE-RXN
R10493	RXN-14375
R02685	RXN-17797
R12713	RXN-20952
R09968	RXN-12983
R12479	RXN-18911
R09661	RXN-11730
R10116	RXN-21631
R07668	RXN-22563
R11508	RXN-17432
R00209	PYRUVDEH-RXN
R00460	RXN-19818
R09251	RXN-11486
R04235	2.7.4.19-RXN
R00028	RXN-14281
R07318	RXN-21339
R00619	THIAMIN-PYROPHOSPHOKINASE-RXN
R12244	RXN-19402
R02014	RXN-21262
R08570	DEHYDDEOXPHOSGALACT-ALDOL-RXN
R00345	PEPCARBOX-RXN
R01579	ASPARAGHYD-RXN
R08518	4.1.2.30-RXN
R04328	RXN66-318
R11805	RXN-12901
R13027	RXN-22786
R00038	PROPIOIN-SYNTHASE-RXN
R10587	RXN-14520
R11031	RXN-11194
R03457	IMIDPHOSDEHYD-RXN
R08584	RXN-7739
R04867	RXN-20611
R11578	RXN-11898
R02014	RXN-21264
R12633	RXN-20671
R08951	2.5.1.70-RXN
R04328	RXN-13709
R10678	RXN-15265
R10005	RXN-8592
R11173	RXN-19320
R02630	TRANS-RXN-165
R01851	METHANETHIOL-OXIDASE-RXN
R10734	RXN-12494
R12778	RXN-20186
R01571	AMP--THYMIDINE-KINASE-RXN
R07503	RXN-2561
R08864	RXN-10824
R02932	RXN-4201
R09529	RXN-14058
R12969	GLUCOSYLCERAMIDASE-RXN
R02661	2-METHYLACYL-COA-DEHYDROGENASE-RXN
R10761	RXN-14944
R12319	RXN-9767
R01274	3.1.2.22-RXN
R01731	RXN-15200
R00223	4.3.1.15-RXN
R11005	RXN-16374
R13130	RXN-23586
R05146	RXN2B4Q-66
R12429	RXN0-1141
R09492	RXN185E-8
R01525	RIBITOL-5-PHOSPHATE-2-DEHYDROGENASE-RXN
R01403	RXN-21647
R03330	RXN-23127
R11659	RXN-18402
R01242	RXN6666-9
R01837	RXN66-351
R11894	RXN-14120
R11038	RXN-8119
R12100	RXN-16599
R06124	RXN-12487
R12388	RXN-19705
R05000	RXN-9222
R03200	CYCLOARTENOL-SYNTHASE-RXN
R08665	RXNQT-4313
R01837	RXN-12789
R08661	RXN-18761
R10095	RXN-11078
R05324	2.4.1.209-RXN
R00782	RXN-15130
R11591	RXN-20917
